5000	RUNNING	4556737952770409
435.5	BLOCKED	4532361751368460
5669	RUNNING	4532137713809076
8050	RUNNING	4716495303953391
12000	RUNNING	4485232250581241
50640	RUNNING	5162447645320785
9965	RUNNING	5476710564331831
140.89	BLOCKED	5435992326996974
8600	BLOCKED	5397456955223783
60000	RUNNING	5198423111454737
80000	RUNNING	453236175136846042
250	RUNNING	448523225058124126
4500	BLOCKED	543599232699697450
8000	RUNNING	448523225058124118
16660	RUNNING	543599232699697491
8865.5	BLOCKED	471649530395339183
